Account Short Name,Segment,Key Account Type,V1,Perf Reporting?,,2018 Division,2019 Division,2019 BMP Label,2020 Division,2020 BU Label,2020 DIV Label,2020 Business Model Label,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",,2019 Prod Code,2020 Prod Code,Domain,EcoX,Margin,,OpportunityScope,EcoX?,EcoX Domain1,EcoX Domain2,EcoX Domain3,,"2020 For 
Reporting",2020 Division,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",US Reporting Div,NAM Ops?,"US P&L, L1","US P&L, L2","US P&L, L3",,,Services,,,ESX L2L3,,,Adv+SW,,,,,,,,UPD 3.2.2021,,,,,,,,,,,,,Flywheel Ref Data,,,,
HCA Inc.,Buildings - Healthcare,CTA,Jeff Eggleston,1,,ITD,Secure Power,Secure Power Systems,Secure Power,BI,IT,Secure Power Equipment and Systems,,PTSL2 - Digital Building Projects,PTSL2,DBSL2,,OLD,Digital Energy,Digital Building,,ESEEP,ESEEP,Power,0.5,0.27257952,,Cross-Selling with Invensys;EcoStruxure Building;EcoStruxure Plant,1,Building,Plant,0,,Process Automation,Process Automation,,PTSL2 - Digital Building Projects,PTSL2,DBSL2,,OLD,Digital Energy,Digital Building,Buildings,NAM Ops,Energy Management,Energy Mgmt w.o Services,Buildings w.o Services,,,,,,IDSFT,Plant/Machine,,Building,DBIBS,ADVISOR SRV &SRV PLANS,BA SERVICES PLAN-ULTRA,0,DBIBS-ADVISOR SRV &SRV PLANS-BA SERVICES PLAN-ULTRA,Bldg Advisor,,DBIBS-ADVISOR SRV &SRV PLANS-UOC ADVISOR SRVCS PLAN,UOC advisor,DBIBS,ADVISOR SRV &SRV PLANS,UOC ADVISOR SRVCS PLAN,DBIBS-ADVISOR SRV &SRV PLANS-UOC ADVISOR SRVCS PLAN,0,1,ENM DIGITAL ENERGY,DIGITAL BUILDINGS SERV,DBIBS-UOC advisor,Building,,PPCCB,0.366,,IDHMI,1
Houston Methodist,Buildings - Healthcare,CTA,Jeff Eggleston,1,,ITD,Secure Power,Secure Power Transactional,Secure Power,BI,IT,Secure Power IT Channel and VAR,,BDIBS - Building Field Services,BDIBS,DBIBS,,OLD,Digital Energy,Digital Energy Services,,ESSMS,ESSMS,Power,0.5,0.27257952,,Cross-Selling with Invensys;EcoStruxure Building;EcoStruxure Plant;EcoStruxure Power,1,Power,Building,Plant,,Process Automation Services,Secure Power,,BDIBS - Building Field Services,BDIBS,DBIBS,,OLD,Digital Energy,Digital Building Services,Buildings,NAM Ops,Energy Management,Energy Mgmt Services,Buildings Services,,,,,,IDPSO,Plant/Machine,,Building,DBIBS,ADVISOR SRV &SRV PLANS,EBO HOSTED SAAS SUBS,0,DBIBS-ADVISOR SRV &SRV PLANS-EBO HOSTED SAAS SUBS,BLDG Software,,DBIBS-ADVISOR SRV &SRV PLANS-WPA SAAS SUBSCRIPTION,EcoStruxure Workplace Advisor,DBIBS,ADVISOR SRV &SRV PLANS,WPA SAAS SUBSCRIPTION,DBIBS-ADVISOR SRV &SRV PLANS-WPA SAAS SUBSCRIPTION,0,1,ENM DIGITAL ENERGY,DIGITAL BUILDINGS SERV,DBIBS-EcoStruxure Workplace Advisor,Building,,PPMCP,0.01,,IDPSO,1
Kaiser Permanente,Buildings - Healthcare,CTA,Brian Hewgley,1,,Industry OEM-BIC,Industry OEM-BIC,Industry Control & Drives,Ind Automation Ops,ID,IB,IND Automation Ops,,DBIBS - Digital Buildings Service,DBIBS,DBIBS,,Current,Digital Energy,Digital Energy Services,,ESMON,ESMON,Power,0.5,0.27257952,,Cross-Selling with Invensys;EcoStruxure Building;EcoStruxure Power,1,Power,Building,0,,Secure Power Channel VAR,Secure Power Field Services,,DBIBS - Digital Buildings Service,DBIBS,DBIBS,,Current,Digital Energy,Digital Building Services,Buildings,NAM Ops,Energy Management,Energy Mgmt Services,Buildings Services,,,,,,IDPLT,Plant/Machine,,Building,DBIBS,ADVISOR SRV &SRV PLANS,EBO MAINT LICENSE SUBS,0,DBIBS-ADVISOR SRV &SRV PLANS-EBO MAINT LICENSE SUBS,BLDG Software,,DBIBS-CYBERSECURITY SERVICES-CYBERSECURITY SERVICES,Cybersecurity,DBIBS,CYBERSECURITY SERVICES,CYBERSECURITY SERVICES,DBIBS-CYBERSECURITY SERVICES-CYBERSECURITY SERVICES,0,1,ENM DIGITAL ENERGY,DIGITAL BUILDINGS SERV,DBIBS-Cybersecurity,Building,,PSIPS,0.95,,IDPLT,1
Mercy,Buildings - Healthcare(excl),CTA,Orsorio Jackson,0,,Industry OEM-BIC,Industry OEM-BIC,Industry Machine Solutions ,Ind Automation Ops,ID,IB,IND Automation Ops,,DPIBS - Digital Power Services,DPIBS,DPIBS,,Current,Digital Energy,Digital Energy Services,,INENP,DPENP,Power,0.5,0.450947572,,Cross-Selling with Invensys;EcoStruxure IT;EcoStruxure Plant,1,IT,Plant,0,,Secure Power Equip Sys,Smart Grid Services,,DPIBS - Digital Power Services,DPIBS,DPIBS,,Current,Digital Energy,Digital Power Services,Power,NAM Ops,Energy Management,Energy Mgmt Services,Power Services,,,,,,IDCOM,Plant/Machine,,Building,DBIBS,ADVISOR SRV &SRV PLANS,ENGAGE MOBILE APP SAAS,0,DBIBS-ADVISOR SRV &SRV PLANS-ENGAGE MOBILE APP SAAS,BLDG Software,,DBIBS-SMALL PROJECTS-ADVISOR DEPLOYMENT,EBA/WPA setup,DBIBS,SMALL PROJECTS,ADVISOR DEPLOYMENT,DBIBS-SMALL PROJECTS-ADVISOR DEPLOYMENT,0,1,ENM DIGITAL ENERGY,DIGITAL BUILDINGS SERV,DBIBS-EBA/WPA setup,Building,,PSLVE,0.28,,IDCOM,1
Mott MacDonald,Buildings - Healthcare(excl),MCTA,Not V1 scope,0,,Industry OEM-BIC,Industry OEM-BIC,Digital Plant,Ind Automation Ops,ID,IB,IND Automation Ops,,PTIBS - Digital Ene Field Services,PTIBS,DBIBS,,OLD,Digital Energy,Digital Energy Services,,INENS,DPENS,Grid,0.5,0.5,,Cross-Selling with Invensys;EcoStruxure Machine;EcoStruxure Plant,1,Machine,Plant,0,,Secure Power Field Services,Solar,,PTIBS - Digital Ene Field Services,PTIBS,DBIBS,,OLD,Digital Energy,Digital Building Services,Buildings,NAM Ops,Energy Management,Energy Mgmt Services,Buildings Services,,,,,,IDEUR,Plant/Machine,,Building,DBIBS,ADVISOR SRV &SRV PLANS,UOC ADVISOR SRVCS PLAN,0,DBIBS-ADVISOR SRV &SRV PLANS-UOC ADVISOR SRVCS PLAN,BLDG Software,,DGRID-ADMS-ADMS ARR,Operations Management,DGRID,ADMS,ADMS ARR,DGRID-ADMS-ADMS ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,PSMVE,0.65,,IDEUR,1
Nemours Children's,Buildings - Healthcare,CTA,Brian Keemer,1,,Software,Software,Software ,Ind Automation Software,ID,GW,IND Automation Software,,PWIBS - Power LV Installed Base Services,PWIBS,DBIBS,,OLD,Digital Energy,Digital Energy Services,,INMCP,INMCP,Power,0.5,0.290190256,,Cross-Selling with Invensys;EcoStruxure Plant,1,Plant,0,0,,,Cloud,,PWIBS - Power LV Installed Base Services,PWIBS,DBIBS,,OLD,Digital Energy,Digital Building Services,Buildings,NAM Ops,Energy Management,Energy Mgmt Services,Buildings Services,,,,,,IDHMI,Plant/Machine,,Building,DBIBS,ADVISOR SRV &SRV PLANS,WPA SAAS SUBSCRIPTION,0,DBIBS-ADVISOR SRV &SRV PLANS-WPA SAAS SUBSCRIPTION,Workplace advisor,,DGRID-ADMS-ADMS SVC,Operations Management,DGRID,ADMS,ADMS SVC,DGRID-ADMS-ADMS SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,PSMVP,0.37,,,
NY Presby,Buildings - Healthcare,CTA,Orsorio Jackson,1,,Process Automation,Process Automation,Process Automation Out of Matrix ,Process Automation,ID,IA,Process Automation Out of Matrix,,DPENP - Energy Automation Products,DPENP,DPENP,,Current,Digital Energy,Digital Power,,INIBS,INIBS,Power,0,,,Cross-Selling with Invensys;EcoStruxure Plant;EcoStruxure Power,1,Power,Plant,0,,,Smart Infrastructure,,DPENP - Energy Automation Products,DPENP,DPENP,,Current,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Building,DBIBS,CYBERSECURITY SERVICES,CYBERSECURITY SERVICES,0,DBIBS-CYBERSECURITY SERVICES-CYBERSECURITY SERVICES,BLDG CyberSec,,DGRID-ADMS-ADMS SW,Operations Management,DGRID,ADMS,ADMS SW,DGRID-ADMS-ADMS SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,PSSL2,0.6,,,
Partners Healthcare,Buildings - Healthcare,CTA Candidate,Orsorio Jackson,1,,Process Automation,Process Automation Services,Process Automation Services,Process Automation Services,ID,IA,Process Automation Services,,DPENS - Electrical Networks Projects,DPENS,DPENS,,Current,Digital Energy,Digital Power,,INMVP,INMVP,Power,0.5,0.290190256,,Cross-Selling with Invensys;EcoStruxure Power,1,Power,0,0,,,N/A,,DPENS - Electrical Networks Projects,DPENS,DPENS,,Current,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Building,DBIBS,SMALL PROJECTS,ADVISOR DEPLOYMENT,0,DBIBS-SMALL PROJECTS-ADVISOR DEPLOYMENT,Bldg Advisor,,DGRID-AGMS-AGMS ARR,Operations Management,DGRID,AGMS,AGMS ARR,DGRID-AGMS-AGMS ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,PSMVT,0.04,,,
Scripps,Buildings - Healthcare,CTA,Brian Hewgley,1,,ESS,ESS,Energy & Sustainability Services,Energy & Sustainability Services,SCE,PS,SCE Energy & Sustainability,,DPSOL - Power Solutions,DPSOL,DPSOL,,Current,Digital Energy,Digital Power,,INMVE,INMVE,Power,0,,,Cross-Selling with Invensys;Eurotherm,0,0,0,0,,,,,DPSOL - Power Solutions,DPSOL,DPSOL,,Current,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Building,DBIBS,TRANSITIONS,EBO TRANSITIONS,0,DBIBS-TRANSITIONS-EBO TRANSITIONS,BLDG EBO,,DGRID-AGMS-AGMS SVC,Operations Management,DGRID,AGMS,AGMS SVC,DGRID-AGMS-AGMS SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,SP3PH,1,,,
Texas Health,Buildings - Healthcare(excl),CTA Candidate,Jeff Eggleston,0,,Industry OEM-BIC,Industry Services,Industry Services,Ind Automation Services,SV,AS,SCE IND Field Services,,ENENP - ELECT NETWORKS PROTECT,ENENP,DPENP,,OLD,Digital Energy,Digital Power,,PTATS,PTATS,Power,0.5,,,Cross-Selling with Invensys;Microgrid,0,0,0,0,,,,,ENENP - ELECT NETWORKS PROTECT,ENENP,DPENP,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Building,DBPRD,SOFTWARE & DIGITAL SRV,DIGITAL SERVICES,1,DBPRD-SOFTWARE & DIGITAL SRV-DIGITAL SERVICES,Bldg Advisor,,DGRID-AGMS-AGMS SW,Operations Management,DGRID,AGMS,AGMS SW,DGRID-AGMS-AGMS SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,SPBPP,1,,,
